Year,Address,Region,lot_size,bed_room,wash_room,house_age,price,trasaction_date
2013,37 Edith Dr,NW,21*161,3,2,???,93,2013.09
2013,29 Edith Dr,NW,21*161,3,2,?,73,2013.11
2013,419 St Celments Ave,NW,25*137,3,2,???????,88.5,2013.04
2013,331 St Clements Ave,NW,25*135,3,2,?,84,2013.06
2013,22 Birdsall Ave,NW,26*100,3+1,2,???????,86,2013.08
2013,20 Birdsall Ave,NW,26*100,3,1,???????,86,2013.02
2013,571 Oriole Pkwy,NW,33*100,3+1,2,???????,97,2013.12
2013,329 St Clements Ave,NW,25*135,3,2,???????,88,2013.11
2013,269 St Clements Ave,NW,25*134,3,2,???????,97,2013.05
2013,1061 Avenue Rd,NW,27*106,3+1,3,???????,87,2013.07
2013,265 Castlefield Ave,NW,24*133,3+1,2,???????,95.5,2013.09
2013,68 Castlefield Ave,NW,25*124,3+1,2,???????,98.5,2013.04
2013,88 Helendale Ave,NW,25*65,2+1,3,16-30yr,91.5,2013.05
2013,134 Edith Dr,NW,24*110,3+1,3,???,118.5,2013.08
2013,648 Oriole Pkwy,NW,29*114,3,2,???????,100,2013.11
2013,258 St Clements Ave,NW,25*80,3,3,???,112,2013.05
2013,*221 St Clements Ave,NW,27*133,3,3,???????,126,2013.04
2013,122 Helendale Ave,NW,31*65,3+1,4,?????????,118,2013.03
2013,137 Helendale Ave,NW,27*139,3,3,31-50? ???,117,2013.03
2013,142 Castlefield Ave,NW,23*135,3+1,3,5??? ???,131.5,2013.03
2013,18 Burnaby Blvd,NW,34*113,4,3,31-50? ???,132.5,2013.04
2013,162 Roselawn Ave,NW,35*134,4+2,4,???????,132,2013.06
2013,*178 St Clements Ave,NW,25*131,3+1,3,10??? ????,142.5,2013.05
2013,*63 Castlefield Ave,NW,40*135,4+1,5,6-15???????,239.5,2013.07
2014,91 Montgomery Ave,NW,18*65,2,2,,73,2014.07
2014,37 Castlefield Ave,NW,25*135,2,2,?,91,2014.03
2014,119 Castlefield Ave,NW,23*80,4,1,?,87,2014.03
2014,110 Edith Dr,NW,25*106,3,2,???????,95.5,2014.11
2014,235 Briar Hill Ave,NW,27*75,3,2,???????,106.5,2014.05
2014,115 Castlefield Ave,NW,20*65,3,2,???????,92,2014.05
2014,261 St Clements Ave,NW,25*133,3,2,???????,117.5,2014.06
2014,596 Oriole Pkwy,NW,30*118,3+1,3,???????,97,2014.09
2014,116 St. Clements Ave,NW,25*131,3+1,2,???????,121,2014.01
2014,332 St Clements Ave,NW,25*132,3+1,4,???????,110,2014.06
2014,593 Oriole Pkwy,NW,33*104,3,3,???????,120,2014.08
2014,326 St Clements Ave,NW,25*132,3,2,???????,104,2014.04
2014,268 St Clements Ave,NW,25*132,3+1,3,???????,106,2014.04
2014,277 St Clements Ave,NW,25*134,3+1,3,???,113.5,2014.05
2014,44 Willowbank Blvd,NW,30*120,4+1,3,???????,116.5,2014.07
2014,564 Oriole Pkwy,NW,29*119,3,3,???????,116.5,2014.07
2014,49 Hillsdale Ave W,NW,25*94,4,3,???????,108.5,2014.11
2014,118 Helendale Ave,NW,22*65,3,4,0-5??,120,2014.01
2014,36 Willowbank Blvd,NW,30*119,4+1,4,???????? ?,140,2014.06
2014,243 St Clements Ave,NW,33*133,4+1,3,???????,139,2014.01
2014,566 Oriole Pkwy,NW,30*119,3+1,3,???,125,2014.12
2014,162 Roselawn Ave,NW,35*134,4+2,4,??? ????,161,2014.05
2014,*35 Willowbank Blvd,NW,30*119,4+1,3,???????? ???wo,128,2014.08
2014,171 Castlefield Ave,NW,25*133,3+1,4,"???, 3k sqft",135,2014.03
2014,50 Roselawn Ave,NW,43*70,3+1,4,6-15???????,137,2014.11
2014,112 Briar Hill Ave,NW,40*131,3+1,4,???,160,2014.11
2014,322 Roselawn Ave,NW,25*133,3,4,"0-5??, ????",142.5,2014.04
2014,*147 St Clements Ave,NW,34*132,4+1,4,6-15???????,218,2014.05
2014,22 Burnaby Blvd,NW,33*119,4+1,5,??,237,2014.06
2015,29 Edith Dr,NW,21*161,3,2,???,94.3,2015.04
2015,1061 Avenue Rd,NW,27*106,3+1,4,???????,98,2015.04
2015,291 St. Clements Ave,NW,25*135,3+1,2,???????,111,2015.01
2015,307 Briar Hill Ave,NW,25*132,3+1,2,???????,125,2015.05
2015,37 Castlefield Ave,NW,25*135,2,2,???????,104.5,2015.01
2015,298 Roselawn Ave,NW,25*133,3,3,???????,116.5,2015.05
2015,69 Orchard View Blvd,NW,27*100,3+1,4,???????,117.5,2015.05
2015,110 Edith Dr,NW,25*106,3,4,???,117,2015.05
2015,303 St Clements Ave,NW,25*135,3+1,2,,123,2015.06
2015,37 Burnaby Blvd,NW,29*119,3+1,3,???,131,2015.09
2015,126 Helendale Ave,NW,25*65,3,3,??? ????,130,2015.03
2015,292 St Clements Ave,NW,25*132,3,2,???????,123,2015.08
2015,326 St Clements Ave,NW,25*132,3,2,???????,125,2015.07
2015,315 St Clements Ave,NW,25*135,3,3,???????,127.5,2015.04
2015,112 St Clements Ave,NW,25*131,3+1,3,???????,135,2015.04
2015,251 St Clements Ave,NW,33*134,5+1,3,,140,2015.06
2015,122 Helendale Ave,NW,31*65,3,4,,149,2015.11
2015,293 St Clements Ave,NW,25*134,3+1,5,,168,2015.07
2015,697 Oriole Pkwy,NW,27*113,4,4,???,169,2015.01
2015,294 Roselawn Ave,NW,25*133,3,4,4??,167.5,2015.01
2015,595 Oriole Pkwy,NW,33*107,4,5,???,194.5,2015.07
2015,11 Elwood Blvd,NW,42*119,4+1,5,,225,2015.05
2015,237 St Clements Ave,NW,36*133,3+1,5,,250.5,2015.07
2016,112 Helendale Ave,NW,22*65,2,1,,91,2016.08
2016,19 Birdsall Ave,NW,25*90,3,2,,135,2016.08
2016,54 Helendale Ave,NW,29*65,3+1,2,,130,2016.03
2016,348 Roselawn Ave,NW,23*133,3,2,,115,2016.06
2016,235 Briar Hill Ave,NW,27*75,3+1,3,,142,2016.02
2016,333 St Clements Ave,NW,27*135,4,2,,150,2016.04
2016,499 Duplex Ave,NW,28*66,3,3,,141.5,2016.09
2016,70 Montgomery Ave,NW,37*112,4,2,,147,2016.05
2016,33 Willowbank Blvd,NW,30*119,4,2,,153,2016.03
2016,31 Castlefield Ave,NW,27*95,4+1,3,,138,2016.05
2016,94 Roselawn Ave,NW,25*134,4,2,,140,2016.05
2016,294 St Clements Ave,NW,25*131,3+1,2,,155,2016.06
2016,116 Roselawn Ave,NW,25*134,4+2,2,,159,2016.11
2016,60 Roselawn Ave,NW,28*134,2,2,,141,2016.11
2016,128 Montgomery Ave,NW,19*110,3+1,4,??,142,2016.05
2016,150 Roselawn Ave,NW,26*135,3+1,2,,136,2016.08
2016,*42 Willowbank Blvd,NW,30*119,3+1,3,,162,2016.04
2016,324 Roselawn Ave,NW,25*133,3,4,????,190.5,2016.11
2016,117 St Clements Ave,NW,24*132,3+1,4,??????,181,2016.06
2016,251 St.Clements Ave,NW,33*133,5+1,3,,161,2016.02
2016,15 Willowbank Blvd,NW,33*119,4+1,4,,190,2016.05
2016,178 St Clements Ave,NW,25*131,3+1,3,????,190,2016.11
2016,219 Briar Hill Ave,NW,40*131,4+1,4,,174,2016.04
2016,62 Castlefield Ave,NW,25*135,4+1,4,7??,183.5,2016.02
2016,148 Castlefield Ave,NW,36*135,4+1,5,??????,226,2016.05
2016,659 Oriole Pkwy,NW,29*113,4+1,5,?????????,255,2016.08
2017,134 Helendale Ave,NW,32*65,3,3,,151,2017.03
2017,130 Montgomery Ave,NW,25*125,3,2,,130,2017.05
2017,113 Montgomery Ave,NW,20*65,2,3,,110,2017.11
2017,108 Orchard View Blvd,NW,25*128,3+1,3,,143,2017.11
2017,265 St Clements Ave,NW,25*133,3,3,,194,2017.06
2017,148 Roselawn Ave,NW,26*135,3,1,,132,2017.05
2017,118 Helendale Ave,NW,22*65,3,4,3-8??,175,2017.04
2017,34 Burnaby Blvd,NW,25*119,3+1,2,,147,2017.12
2017,45 Willowbank Blvd,NW,27*112,4+1,4,,180,2017.04
2017,292 St Clements Ave,NW,25*132,3,2,,168.5,2017.11
2017,106 St Clements Ave,NW,25*131,3+1,2,,200.5,2017.04
2017,130 Roselawn Ave,NW,27*135,4,2,,165,2017.08
2017,94 Roselawn Ave,NW,25*134,4+1,3,,165,2017.12
2017,686 Oriole Pkwy,NW,27*187,3+1,4,????,200,2017.05
2017,71 St Clements Ave,NW,25*131,4,4,"16-30, ????",215,2017.06
2017,58-60 Castlefield Ave,NW,40*134,4,2,duplex,215,2017.05
2017,653 Oriole Pkwy,NW,27*113,4+2,4,"wo basement, 65W in reno",240,2017.11
2018,265 Castlefield Ave,NW,24*133,3+1,2,,145,2018.03
2018,367 Castlefield Ave,NW,25*133,3,2,,137.5,2018.03
2018,150 Roselawn Ave,NW,26*135,3+1,2,,136.5,2018.06
2018,302 St Clements Ave,NW,25*132,3,2,,158,2018.04
2018,119 Castlefield Ave,NW,23*79,3,4,,173,2018.02
2018,318 St Clements Ave,NW,25*131,3+1,4,,175,2018.06
2018,21 Willowbank Blvd,NW,33*119,3,3,,187.5,2018.05
2018,115 St Clements Ave,NW,25*132,3+1,4,"16-30, ????",196,2018.06
2018,150 Albertus Ave,NW,27*134,3,5,"22??, ??????",215,2018.06
2018,222 Briar Hill Ave,NW,32*133,3,3,31??,240,2018.06
2018,158 Briar Hill Ave,NW,25*132,3,3,,173,2018.02
2018,30 Willowbank Blvd,NW,33*119,3+1,3,,181,2018.05
2013,182 Colin Ave,SW,30*110,4,1,?,91,2013.04
2013,157 Lascelles Blvd,SW,30*110,3+1,2,???????,108,2013.03
2013,149 Lascelles Blvd,SW,30*110,3,2,???????,114,2013.09
2013,15 Anderson Ave,SW,30*110,3,2,???????,115.5,2013.02
2013,147 Lascelles Blvd,SW,30*110,3,3,???????,116,2013.06
2013,146 Colin Ave,SW,29*100,3+1,4,???????,107,2013.02
2013,91 Hillsdale Ave W,SW,36*100,4,2,???????,119,2013.03
2013,85 Chaplin Cres,SW,40*120,4,2,???????,128.5,2013.04
