,Year,Address,Region,lot_size,bed_room,wash_room,house_age,condition,price,trasaction_date,lot_width,lot_length,tran_year,tran_month,bed_main,bed_bsmt,tran_date,walking_distance
0,2013,37 Edith Dr,NW,21*161,3,2,???,7.0,93.0,2013.09,21,161,2013,9,3,0,2013.75,598
1,2013,29 Edith Dr,NW,21*161,3,2,?,1.0,73.0,2013.11,21,161,2013,11,3,0,2013.9166666666667,570
2,2013,419 St Celments Ave,NW,25*137,3,2,???????,3.0,88.5,2013.04,25,137,2013,4,3,0,2013.3333333333333,1931
3,2013,331 St Clements Ave,NW,25*135,3,2,?,1.0,84.0,2013.06,25,135,2013,6,3,0,2013.5,1632
4,2013,22 Birdsall Ave,NW,26*100,3+1,2,???????,3.0,86.0,2013.08,26,100,2013,8,3,1,2013.6666666666667,1400
5,2013,20 Birdsall Ave,NW,26*100,3,1,???????,3.0,86.0,2013.02,26,100,2013,2,3,0,2013.1666666666667,1390
6,2013,571 Oriole Pkwy,NW,33*100,3+1,2,???????,3.0,97.0,2013.12,33,100,2013,12,3,1,2014.0,875
7,2013,329 St Clements Ave,NW,25*135,3,2,???????,5.0,88.0,2013.11,25,135,2013,11,3,0,2013.9166666666667,1625
8,2013,269 St Clements Ave,NW,25*134,3,2,???????,5.0,97.0,2013.05,25,134,2013,5,3,0,2013.4166666666667,1404
9,2013,1061 Avenue Rd,NW,27*106,3+1,3,???????,3.0,87.0,2013.07,27,106,2013,7,3,1,2013.5833333333333,1129
10,2013,265 Castlefield Ave,NW,24*133,3+1,2,???????,5.0,95.5,2013.09,24,133,2013,9,3,1,2013.75,1574
11,2013,68 Castlefield Ave,NW,25*124,3+1,2,???????,5.0,98.5,2013.04,25,124,2013,4,3,1,2013.3333333333333,993
12,2013,88 Helendale Ave,NW,25*65,2+1,3,16-30yr,9.0,91.5,2013.05,25,65,2013,5,2,1,2013.4166666666667,603
13,2013,134 Edith Dr,NW,24*110,3+1,3,???,7.0,118.5,2013.08,24,110,2013,8,3,1,2013.6666666666667,934
